track_id	song_id	title	preview_file	mp3_file
TRAAAAW128F429D538	SOMZWCG12A8C13C480	I Didn't Mean To - Casual	TRAAAAW128F429D538-mzm.jmksdiul.aac.p.m4a	TRAAAAW128F429D538-mzm.jmksdiul.aac.p.mp3
TRAAABD128F429CF47	SOCIWDW12A8C13D406	The Letter - The Box Tops	TRAAABD128F429CF47-mzm.maejowgk.aac.p.m4a	TRAAABD128F429CF47-mzm.maejowgk.aac.p.mp3
TRAAAEF128F4273421	SONHOTT12A8C13493C	Something Girls - Adam Ant	TRAAAEF128F4273421-mzm.wvrnqeth.aac.p.m4a	TRAAAEF128F4273421-mzm.wvrnqeth.aac.p.mp3
TRAAAFD128F92F423A	SOFSOCN12A8C143F5D	Face the Ashes - Gob	TRAAAFD128F92F423A-mzaf_7872227378043099108.plus.aac.p.m4a	TRAAAFD128F92F423A-mzaf_7872227378043099108.plus.aac.p.mp3
TRAABLR128F423B7E3	SOHUOAP12A8AE488E9	Floating - Blue Rodeo	TRAABLR128F423B7E3-mzi.hrspqvdo.aac.p.m4a	TRAABLR128F423B7E3-mzi.hrspqvdo.aac.p.mp3
TRAABNV128F425CEE1	SOUQQEA12A8C134B1B	High Tide - Richard Souther	TRAABNV128F425CEE1-mzaf_1138184835533468619.plus.aac.p.m4a	TRAABNV128F425CEE1-mzaf_1138184835533468619.plus.aac.p.mp3
TRAABVM128F92CA9DC	SOXLBJT12A8C140925	Caught In a Dream - Tesla	TRAABVM128F92CA9DC-mzaf_6533586203788207814.plus.aac.p.m4a	TRAABVM128F92CA9DC-mzaf_6533586203788207814.plus.aac.p.mp3
TRAACER128F4290F96	SOBBUGU12A8C13E95D	Setting Fire to Sleeping Giants - The Dillinger Escape Plan	TRAACER128F4290F96-mzaf_8264859982335743323.plus.aac.p.m4a	TRAACER128F4290F96-mzaf_8264859982335743323.plus.aac.p.mp3
TRAACFV128F935E50B	SOBLGCN12AB0183212	James (Hold the Ladder Steady) - Sue Thompson	TRAACFV128F935E50B-mzaf_3214719693783324092.plus.aac.p.m4a	TRAACFV128F935E50B-mzaf_3214719693783324092.plus.aac.p.mp3
TRAACHN128F1489601	SOPSWQW12A6D4F8781	Made Like This (Live) - Five.Bolt.Main	TRAACHN128F1489601-mzaf_7393058876293345106.plus.aac.p.m4a	TRAACHN128F1489601-mzaf_7393058876293345106.plus.aac.p.mp3
TRAACNS128F14A2DF5	SOBZBAZ12A6D4F8742	Spanish Grease (Dorfmeister Con Madrid De Los Austrias Muga Reserve Mix) - Willie Bobo	TRAACNS128F14A2DF5-mzaf_6517470788455498392.plus.aac.p.m4a	TRAACNS128F14A2DF5-mzaf_6517470788455498392.plus.aac.p.mp3
TRAACPE128F421C1B9	SOGNCJP12A58A80271	Do You Finally Need a Friend - Terry Callier	TRAACPE128F421C1B9-mzm.xbprxedn.aac.p.m4a	TRAACPE128F421C1B9-mzm.xbprxedn.aac.p.mp3
